codigo,precio,direccion,latitud,longitud,razon_social,distribuidor,nom_comuna,nom_region
co01001,1329.4615,Mapocho 1998,-33.43219,-70.66466,Sociedad Comercial E Inversiones V&G ltda,COPEC,Santiago Centro,Metropolitana de Santiago
co01002,1330.5,SAN PABLO 1571,-33.43440496,-70.65988898,Administradora de Ventas al Detalle Ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01004,1366.5883,Avenida Almirante Blanco Encalada 1899,-33.45651927,-70.6606856,Distribuidora y Comercializadora Bronco Ltda,COPEC,Santiago Centro,Metropolitana de Santiago
co01005,1356.25,Avenida Matta 788,-33.45907254,-70.64504027,Administradora de Ventas al Detalle Ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01007,1357.3846,Lord Cochrane 152,-33.44777135,-70.65466404,Comercial Desca Limitada,COPEC,Santiago Centro,Metropolitana de Santiago
co01008,1356.0769,Vicuña Mackenna 654,-33.44997352,-70.63110888,Sociedad Comercial y Distribuidora Becaso Ltda,COPEC,Ñuñoa,Metropolitana de Santiago
co01009,1322.1666,SAN PABLO 2602,-33.43521972,-70.67305058,SOC COM PINTO Y CANDIALTDA,COPEC,Santiago Centro,Metropolitana de Santiago
co01010,1324.5,SAN PABLO 1990,-33.43490635,-70.66442996,Administradora de Ventas al Detalle Ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01011,1376.0555,NATANIEL COX 1802,-33.47015075,-70.64988166,Comercial Villaval ltda ,COPEC,Santiago Centro,Metropolitana de Santiago
co01012,1370.3529,VIEL 1921,-33.47205925,-70.65635115,Adm. de Gasolineras Ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01013,1351,BASCUÑAN GUERRERO 568,-33.45679676,-70.67388207,ESTACION DE SERVICIO BRIZA LTDA,COPEC,Santiago Centro,Metropolitana de Santiago
co01014,1353.2858,CARMEN 185,-33.44639721,-70.64276576,Administradora de ventas al detalle ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01015,1363.2858,ARTURO PRAT 683,-33.45374438,-70.64860761,RIVEROS Y LILLO LTDA,COPEC,Santiago Centro,Metropolitana de Santiago
co01016,1360.3334,Avenida Matta 665,-33.45786864,-70.64234734,COPEGAS LIMITADA,COPEC,Santiago Centro,Metropolitana de Santiago
co1010101,1414.8462,AV. ANGELMO 1920,-41.48148379,-72.95587599,SOCIEDAD Y SERVICIOS MIYA LTDA.,COPEC,Puerto Montt,De los Lagos
co1010103,1403.0244,CAMINO ALERCE 2000,-41.45913106,-72.91840553,DISTRIBUIDORA DE COMBUSTIBLES LA PALOMA LIMITADA / Rut : 76.014.449-5,COPEC,Puerto Montt,De los Lagos
co1010104,1405.9546,AV. Los Notros 905,-41.48033439,-72.97852993,Comercial y Servicios Nueva S y C Limitada,COPEC,Puerto Montt,De los Lagos
co1010105,1399.9546,"San MartÍn, Esq. Benavente 0",-41.47083696,-72.94048548,Comercial y Servicios Fersof ltda.,COPEC,Puerto Montt,De los Lagos
co1010106,1400.2174,CARRETERA PANAMERICANA 200,-41.46225069,-72.95374632,BERGUECIO Y EBENSPERGER LIMITADA  ,COPEC,Puerto Montt,De los Lagos
co1010107,1405.9048,AV. PRESIDENTE IBAÑEZ 1118,-41.46852167,-72.9605484,COMERCIAL R Y G  LIMITADA   ,COPEC,Puerto Montt,De los Lagos
co1010108,1406.1364,Av. Gabriela Mistral 955,-41.40475072,-72.91678228,Comercial y servicios Roco Limitada,COPEC,Puerto Montt,De los Lagos
co1010109,1410.3914,av cardonal km 3 0001,-41.45271304,-73.00913644,Comercial Los Roques Ltda.,COPEC,Puerto Montt,De los Lagos
co1010110,1430.3125,"AMANECER DE ALICANTE N°2016, JARDIN AUSTRAL",-41.44657343,-72.92777933,ADMINISTRADORA DE VENTAS AL DETALLE LIMITADA,COPEC,Puerto Montt,De los Lagos
co1010201,1402.7,ALMIRANTE LA TORRE 370,-41.7579475,-73.14553499,SOCIEDAD COMERCIAL PÉREZ-HERRERA LTDA.,COPEC,Calbuco,De los Lagos
co1010401,1406.6,IRARRAZABAL 003,-41.15313147,-73.42227459,Comercial T&T Limitada   ,COPEC,Fresia,De los Lagos
co1010501,1406.7142,ARTURO ALESSANDRI 187,-41.1173085,-73.04820836,COMERCIALIZADORA Y DISTRIBUIDORA FACI LTDA.,COPEC,Frutillar,De los Lagos
co1010602,1410.7916,"Manuel Rodriguez, Los Muermos",-41.3933995,-73.46317919,Comercial y Servicios Los Galpones Limitada,COPEC,Los Muermos,De los Lagos
co1010701,1402.1177,VICENTE PEREZ ROSALES 711,-41.26372707,-73.00196707,JUAN RODOMIRO ANDRADE BARRIA 7275067-5                                         ,COPEC,Llanquihue,De los Lagos
co1010801,1409.7142,GASPAR DEL RIO ESQ. 21 DE MAYO 0,-41.6161181,-73.59614879,DORIS ANDRADE V. DISTRIB. DE COMB.  AUTOM. Y ALIMENTICIOS  E.I.R.L.,COPEC,Maullín,De los Lagos
co1010901,1407.0476,SANTA  ROSA 248,-41.31746404,-72.98350811,Comercial Beldue Ltda.,COPEC,Puerto Varas,De los Lagos
co1010902,1407.8948,ENSENADA KM 48 0,-41.2123447,-72.5430565,MARIO E. BOHLE ROUGE                                                  ,COPEC,Puerto Varas,De los Lagos
co1010904,1409.2273,Walker Martinez 315,-41.31659335,-72.98532672,Comercial M&R Ltda,COPEC,Puerto Varas,De los Lagos
co1010905,1408.85,"Ruta 5 Sur Km 1009,4",-41.35099272,-72.98113513,COMERCIAL DASEFE LIMITADA,COPEC,Puerto Varas,De los Lagos
co1020101,1415.5385,GALVARINO RIVEROS 1205,-42.47245302,-73.77681971,Administradora de Ventas al Detalle Ltda.                                ,COPEC,Castro,De los Lagos
co1020102,1420,O'Higgins 495,-42.48048284,-73.76203537,MU?OZ Y DIMTER LIMITADA                                ,COPEC,Castro,De los Lagos
co1020201,1419.9546,LIBERTAD 547,-41.86689431,-73.82927567,ALFONSO VENEGAS COMERCIAL Y SERVICI OS E.I.R.L.,COPEC,Ancud,De los Lagos
co1020301,1448.8823,SARGENTO CANDELARIA 391,-42.62188891,-73.7799418,ADMINISTRADORA DE VENTAS AL DETALLE LIMITADA,COPEC,Chonchi,De los Lagos
co1020501,1413.1666,RAMON FREIRE PONIENTE 595,-42.38038374,-73.65477651,Soc. Distribuidora de Combustibles Vizion Ltda.         ,COPEC,Dalcahue,De los Lagos
co1020801,1425.2273,"LADRILLEROS, ESQ. LA PAZ 395",-43.11716296,-73.61942768,PATRICIO ALBERTO BRAM VERA,COPEC,Quellón,De los Lagos
co1030101,1411.5909,Eleuterio Ramirez 211,-40.57307136,-73.14491272,COMERCIAL Y SERVICIOS VENTURA LIMITADA,COPEC,Osorno,De los Lagos
co1030102,1413.0952,Av. Juan Mackenna 2019,-40.57607841,-73.11578393,Comercial y Servicios J&M Ltda.,COPEC,Osorno,De los Lagos
co1030103,1413.0952,BULNES 544,-40.5723481,-73.13840568,ESTACION DE SERVICIOS BULNES LTDA / RUT: 76.757.000-7,COPEC,Osorno,De los Lagos
co1030104,1410.5264,REPUBLICA 840,-40.5737559,-73.1581521,COMERCIAL AIKETEN LTDA,COPEC,Osorno,De los Lagos
co1030105,1407.0952,LOS CARRERAS 1221,-40.57227068,-73.12948465,Administradora de Ventas al Detalle Ltda.,COPEC,Osorno,De los Lagos
co1030106,1409.3334,RENE SORIANO 2335,-40.58089634,-73.11332703,DISTRIBUIDORA COMERCIAL P Y G LIMIT ADA   ,COPEC,Osorno,De los Lagos
co1030301,1409.4,ELEUTERIO RAMIREZ 512,-40.91255585,-73.16252947,Comercial y Servicios EyS Limitada,COPEC,Purranque,De los Lagos
co1030401,1411.3334,MANUEL RODRIGUEZ 69,-40.68310093,-72.60435656,SOC. AGR. COM. BENC. TUR. Y HOT. N  HORIZONTE DOS LTDA.               ,COPEC,Puyehue,De los Lagos
co1030402,1435,"RUTA 215 S/N, SECTOR ENTRELAGOS",-40.68601891,-72.59216787,ADMINISTRADORA DE VENTAS AL DETALLE LIMITADA,COPEC,Puyehue,De los Lagos
co1030501,1411.4,Avenida BUSCHMANN 16,-40.79426155,-73.21512222,Comercial y Servicios EyS Limitada,COPEC,Río Negro,De los Lagos
co1030702,1378,RUTA 5 SUR KM 906 0,-40.40870897,-73.00247669,SOCIEDAD DE TRANSPORTES STEUER HOLM GREN Y COMPAï¿½IA LIMITADA,COPEC,San Pablo,De los Lagos
co1030703,1418.4584,RUTA 5 SUR KM 904,-40.4309423,-73.00891399,DANIEL VILLAR Y CIA. LTDA.  RUT 78.656.680-0,COPEC,San Pablo,De los Lagos
co1040101,1481.5,AV. CORCOVADO 453,-42.917258,-72.712736,Administradora de Ventas al Detalle Ltda.     ,COPEC,Chaitén,De los Lagos
co1040301,1457.2222,Carretera Austral KM 107 0,-41.96429675,-72.47951567,SOC.DE EXPLOTACION TURISTICA SETCA LTDA.,COPEC,Hualaihué,De los Lagos
co1040401,1453.2,HURTADO DE MENDOZA S/N 0,-43.61541708,-71.79998875,CARMELO BORQUEZ MACIAS   ,COPEC,Palena,De los Lagos
co110101,1409.0454,VIVAR 402,-20.21334947,-70.14856607,IRACABAL OTTH HENRI EDWARD JEAN                       ,COPEC,Iquique,Tarapacá
co110102,1401.9048,RUTA A-16 KM 32 / AVDA SANTA ROSA 0,-20.26147245,-70.06711006,MARGARITA BEATRIZ HERNANDEZ VERGARA,COPEC,Alto Hospicio,Tarapacá
co110103,1398.9091,SITIO 54B BARRIO INDUSTRIAL,-20.20475047,-70.14159232,PASTEN Y PASTEN,COPEC,Iquique,Tarapacá
co110105,1402.2,Salvador Allende 2102,-20.228987,-70.1354236,Comercializadora y distribuidora POLMAR Ltda,COPEC,Iquique,Tarapacá
co110106,1402.9131,"ALTO HOSPICIO, RUTA A 16 KM. 37",-20.27377386,-70.09523571,JFRM,COPEC,Alto Hospicio,Tarapacá
co110107,1393.75,MANUEL RODRIGUEZ 1404,-20.22339205,-70.14222264,Comercial y Distribuidora POLMAR Ltda,COPEC,Iquique,Tarapacá
co110108,1404.88,ANIBAL PINTO 1377,-20.22102618,-70.15311778,sociedad comercial motorcenter ltda,COPEC,Iquique,Tarapacá
co110109,1401.95,Avda. Arturo Prat Chacon 1732,-20.24137143,-70.14390707,SOCIEDAD COMBUSTIBLES FEYMAR TDA,COPEC,Iquique,Tarapacá
co110110,1401.6086,Teniente Merino Correa 3945,-20.268073,-70.095478,ATACAMA FUELS LTDA,COPEC,Alto Hospicio,Tarapacá
co1110101,1408,Balmaceda 455,-45.57080873,-72.06968486,JAIME RENE CARRILLO VERA,COPEC,Coihaique,Aysén del Gral. Carlos Ibáñez del Campo
co1110102,1410.375,AV. OGANA 1147,-45.58260968,-72.07502376,ADMINISTRADORA DE VENTAS AL DETALLE,COPEC,Coihaique,Aysén del Gral. Carlos Ibáñez del Campo
co1110104,1455.1428,RIO TRANQUILO S/N 0,-46.62339675,-72.67380212,Administradora de Ventas al Detalle Ltda,COPEC,Coihaique,Aysén del Gral. Carlos Ibáñez del Campo
co1110105,1411.375,GENERAL BAQUEDANO 1578,-45.57385,-72.049946,ADMINISTRADORA DE VENTAS AL DETALLE,COPEC,Coihaique,Aysén del Gral. Carlos Ibáñez del Campo
co1120101,1403.8889,Sargento Aldea 1902,-45.39977586,-72.68078327,Administradora de ventas al detalle ltda.,COPEC,Aysén,Aysén del Gral. Carlos Ibáñez del Campo
co1120102,1400.6923,Bernardo O'Higgins 000,-45.46172597,-72.81182528,Administradora de Ventas al Detalle Ltda.,COPEC,Aysén,Aysén del Gral. Carlos Ibáñez del Campo
co1120104,1496,CARRETERA AUSTRAL S/N 0,-48.46349583,-72.56110918,Administradora de Ventas al Detalle Ltda.,COPEC,O’Higgins,Aysén del Gral. Carlos Ibáñez del Campo
co1120105,1446.2084,EUSEBIO IBAR 1950,-45.3902446,-72.689575,Administradora de ventas al detalle Ltda.,COPEC,Aysén,Aysén del Gral. Carlos Ibáñez del Campo
co1120202,1463.7646,CARDENAL CARO S/N  Ó PILOTO PARDO ESQ CONDELL 000,-44.73168199,-72.681427,CARLOS BIERE MORALES,COPEC,Cisnes,Aysén del Gral. Carlos Ibáñez del Campo
co1120203,1470.0714,RUTA 7 CARRETERA AUSTRAL 1050,-43.978275,-72.404615,Administradora de Ventas al Detalle Ltda.,COPEC,Cisnes,Aysén del Gral. Carlos Ibáñez del Campo
co1130101,1446.3334,Arturo Prat 275,-47.25573899,-72.57770598,comercial y servicios dos reinas ltda.,COPEC,Cochrane,Aysén del Gral. Carlos Ibáñez del Campo
co1140102,1471.4,Camino Internacional 1265,-46.54069,-71.722309,WFICA E HIJOS LTDA,COPEC,Chile Chico,Aysén del Gral. Carlos Ibáñez del Campo
co1140202,1456,"CARRETERA LONGITUDINAL AUSTRAL SN, CERRO CASTILLO, RUTA 7 0",-46.122372,-72.163036,ADMINISTRADORA DE VENTAS AL DETALLE,COPEC,Río Ibáñez,Aysén del Gral. Carlos Ibáñez del Campo
co120401,1405.2858,AV. 27 DE ABRIL 00,-20.49367768,-69.33297873,ADMINISTRADORA DE VENTAS AL DETALLE,COPEC,Pica,Tarapacá
co120502,1402.6666,PANAMERICANA NORTE KM 1810,-20.23734242,-69.7865707,COMERCIAL Y SERVICIOS FRAELI LTDA.,COPEC,Pozo Almonte,Tarapacá
co1230101,1457.8948,santa maria 250,-53.30073575,-70.36494255,COMERCIAL FUEGUINA LIMITADA 77.170.030-6,COPEC,Porvenir,Magallanes y de la Antártica Chilena
co1230102,1402.7916,AV. SALVADOR ALLENDE # 0396 (Esquina Av. Frei). 0396,-53.16384812,-70.91813207,HUGO WILLEMSEN Y COMPAÑÍA LIMITADA 77.600.940-­7  ,COPEC,Punta Arenas,Magallanes y de la Antártica Chilena
co1230103,1397.9524,21 DE MAYO 1401,-53.16671038,-70.91091156,comercializadora y logistica serÃ³n aldayuz ltda.,COPEC,Punta Arenas,Magallanes y de la Antártica Chilena
co1230104,1408.1154,"AV. BULNES, ESQ. JOSE GONZALEZ 000",-53.13933749,-70.88833272,SOC. DIST. Y COMERCIAL PATRICIO HARAMBOUR Y COMPA#IA LIMTADA 77.583.220-7,COPEC,Punta Arenas,Magallanes y de la Antártica Chilena
co1230105,1408.1154,AVENIDA BULNES 4486,-53.14945839,-70.8969909,SOC. COMERCIAL VENEGAS Y COMPAÑIA L IMITADA RUT: ,COPEC,Punta Arenas,Magallanes y de la Antártica Chilena
co1230106,1408.1154,Diagonal Don Bosco esq Sarmiento de Gamboa 000,-53.15680102,-70.90144873,HERNAN RICARDO ZANETTI TURINA RUT 7.170.707-5,COPEC,Punta Arenas,Magallanes y de la Antártica Chilena
co1240101,1431.4584,Manuel Bulnes 237,-51.72720759,-72.50157952,SOCIEDAD PAVLOVIC Y CIA LTDA RUT: 89.550.000-3,COPEC,Natales,Magallanes y de la Antártica Chilena
co1310101,1322.75,Rosas 3218,-33.43739534,-70.67918479,Sociedad Comercial Hevia y ValdÃ©s Ltda,COPEC,Santiago Centro,Metropolitana de Santiago
co1310201,1263,Pedro Aguirre Cerda 5355,-33.48840758,-70.70075613,PATRICIO LARRAï¿½AGA FERNANDEZ e HIJOS LTDA. 78.470.800-4,COPEC,Cerrillos,Metropolitana de Santiago
co1310202,1335.4286,Pedro Aguirre Cerda 5903,-33.49261976,-70.70419844,Comercial y Servicios BC Ltda,COPEC,Cerrillos,Metropolitana de Santiago
co1310203,1330.5834,Avenida Lo Errázuriz 713,-33.49796645,-70.71699589,Distribuidora Valenzuela Lecaros Ltda 76.049.329-5 ,COPEC,Cerrillos,Metropolitana de Santiago
co1310401,1351.9231,Principal Capitán Ignacio Carrera Pinto 1236,-33.38065451,-70.6595993,Comercial y servicios HEYGRO Ltda,COPEC,Conchalí,Metropolitana de Santiago
co1310402,1317.8125,Independencia 3060,-33.39887285,-70.66883147,Ecogreen limitada,COPEC,Conchalí,Metropolitana de Santiago
co1310502,1325.5294,Gran Avenida 13040,-33.57331294,-70.68969369,patricio larrañaga e hijos ltda.,COPEC,El Bosque,Metropolitana de Santiago
co1310602,1312.75,Ecuador 4603,-33.45288281,-70.69831431,COMERCIALIZADORA Y DISTRIBUIDORA LATRILLE LTDA,COPEC,Estación Central,Metropolitana de Santiago
co1310604,1325.9231,PADRE ALBERTO HURTADO 301 301,-33.4583699,-70.68969905,COMERCIAL Y SERVICIOS BAUPRES LIMITADA,COPEC,Estación Central,Metropolitana de Santiago
co1310605,1332.1082,5 de Abril 4790,-33.46259463,-70.69938183,COMERCIAL Y SERVICIOS MEDNAV LTDA.,COPEC,Estación Central,Metropolitana de Santiago
co1310607,1326.4872,5 de Abril 4299,-33.459302,-70.693167,Bergeret Salfate Ltda,COPEC,Estación Central,Metropolitana de Santiago
co1310701,1350.5834,Avenida Recoleta 4406,-33.38254483,-70.64073801,COMERCIAL PC LTDA,COPEC,Huechuraba,Metropolitana de Santiago
co1310702,1400,Américo Vespucio 1403,-33.37033768,-70.67149758,COMERCIAL PAIHUEN LTDA,COPEC,Huechuraba,Metropolitana de Santiago
co1310703,1389.8667,Avda. Pedro Fontova 6789,-33.360427,-70.670354,Comercial Soza y Aravena Ltda,COPEC,Huechuraba,Metropolitana de Santiago
co1310801,1333,General Prieto 1500,-33.42940882,-70.65890193,Geomaz Comercial y Servicios Ltda.,COPEC,Independencia,Metropolitana de Santiago
co1310802,1321.125,Panamericana Norte 1767,-33.40761674,-70.67979097,Administradora de Ventas al Detalle Ltda.,COPEC,Independencia,Metropolitana de Santiago
co1310803,1338.0714,FEMIN VIVACETA 715,-33.42386169,-70.66181481,COMERCIALIZADORA Y DISTRIBUIDORA PIRQUE LTDA,COPEC,Independencia,Metropolitana de Santiago
co1310804,1349.25,Avenida Presidente Eduardo Frei Montalva 633,-33.4235259,-70.67264557,Sociedad Estaciones de Servicios Alta Gestion Ruta Caval Ltda.,COPEC,Independencia,Metropolitana de Santiago
co1310805,1330.75,Vivaceta 1108,-33.41810825,-70.66385865,COMERCIAL Y SERVICIOS ANGALSAN LTDA,COPEC,Independencia,Metropolitana de Santiago
co1310807,1327.8462,Independencia 1517,-33.41313804,-70.65813482,Comercial y Servicios HEROSANI Ltda 76238458-2,COPEC,Independencia,Metropolitana de Santiago
co1310901,1340.2142,Gran Avenida/Americo Vespucio 8765,-33.53651201,-70.66459894,Comercial Marcoleta Friedl Ltda.,COPEC,La Cisterna,Metropolitana de Santiago
co1310902,1329.0714,Gran Avenida/ Los Morros 9250,-33.54214135,-70.66511929,COMERCIAL DEL VALLE & MUÃ‘OZ LIMITADA.,COPEC,La Cisterna,Metropolitana de Santiago
co1311001,1378.7693,Avenida La Florida / Trinidad 9871,-33.54663025,-70.56910694,Administradora de Combustibles Cantagallo Limitada,COPEC,La Florida,Metropolitana de Santiago
co1311002,1337.6086,Avenida La Florida 11215,-33.55690824,-70.56082964,COMERCIAL Y SERVICIOS P&P LTDA.,COPEC,La Florida,Metropolitana de Santiago
co1311003,1360.6154,Lía Aguirre 10,-33.52311011,-70.59966266,Steffens y Compañia Ltda,COPEC,La Florida,Metropolitana de Santiago
co1311004,1372.2858,Trinidad 1694,-33.54672414,-70.61439872,Inversiones Bacoba Limitada,COPEC,La Florida,Metropolitana de Santiago
co1311005,1381.75,Vicuña Mackenna /Los Cóndores 8257,-33.53080405,-70.59542209,Soc. Comercial Tapia Y Arriagada Limitada,COPEC,La Florida,Metropolitana de Santiago
co1311006,1368.2667,San José de la Estrella / Santa Raquel 1301,-33.55366716,-70.60221076,Comercial y Servicios Redhaus 360 Limitada,COPEC,La Florida,Metropolitana de Santiago
co1311007,1361.25,Avenida Trinidad 1300,-33.5468414,-70.6036449,COMERCIAL Y SERVICIOS A&F LTDA,COPEC,La Florida,Metropolitana de Santiago
co1311008,1357.7858,Av Americo vespucio 9150,-33.53721849,-70.60895383,Santa Lucia Ltda,COPEC,La Florida,Metropolitana de Santiago
co1311101,1353.1333,Santa Rosa / San Martín 9468,-33.54754678,-70.63307762,Comercial y Servicios Palau Limitada,COPEC,La Granja,Metropolitana de Santiago
co1311201,1361.8125,Santa Rosa 13010,-33.58577306,-70.62809944,SERGIO ITURRIAGA DELGADO,COPEC,La Pintana,Metropolitana de Santiago
co1311202,1316.1428,Tte. Montt Salamanca 12112,-33.57440796,-70.65699756,Administradora de Ventas al Detalle Ltda.,COPEC,La Pintana,Metropolitana de Santiago
co1311301,1372.25,Avenida Francisco Bilbao 5739,-33.43149058,-70.57410657, SOC.COM.EL PARRON LTDA,COPEC,La Reina,Metropolitana de Santiago
co1311302,1372.25,Avenida Ossa 591,-33.44824581,-70.57118297,Inversiones Cossio y Hutt Ltda.,COPEC,La Reina,Metropolitana de Santiago
co1311303,1359.8,Príncipe de Gales 6880,-33.43850104,-70.5610925,COMERCIAL Y SERVICIOS LA ROCHELLE LIMITADA,COPEC,La Reina,Metropolitana de Santiago
co1311401,1401,Avenida Las Condes 12145,-33.37402016,-70.5198133,ADMINISTRADORA DE VENTAS AL DETALLE,COPEC,Las Condes,Metropolitana de Santiago
co1311402,1401,San Ramón 2701,-33.40740627,-70.51103175,Comercial y Distribuidora R y G Ltda // RUT: : 78.636.280-6,COPEC,Las Condes,Metropolitana de Santiago
co1311404,1395.25,Avenida Colón 7400,-33.41802765,-70.55403292,COMERCIAL MYC FUEL LTDA,COPEC,Las Condes,Metropolitana de Santiago
co1311406,1399.25,Manquehue Norte 674,-33.40271758,-70.56990355,Jaime Morere Ruiz-Tagle y Cia. Ltda,COPEC,Las Condes,Metropolitana de Santiago
co1311407,1401,Avenida Las Condes 8170,-33.39829511,-70.55182278,Comercial y Servicios Aremiti Ltda. 76.018.300-8,COPEC,Las Condes,Metropolitana de Santiago
co1311408,1401,Camino El Alba 9610,-33.40147707,-70.53285956,Administradora de ventas al detalle ltda,COPEC,Las Condes,Metropolitana de Santiago
co1311409,1370.9231,Isabel La Catolica 4020,-33.4295032,-70.5818632,R & R Ltda.,COPEC,Las Condes,Metropolitana de Santiago
co1311410,1399,Av. Apoquindo 7520,-33.40800392,-70.55131064,Comercial y Servicios RYR LTDA.,COPEC,Las Condes,Metropolitana de Santiago
co1311501,1401,La Dehesa 2016,-33.35253234,-70.51916957,Administradora de Ventas al Detalle Ltda.,COPEC,Lo Barnechea,Metropolitana de Santiago
co1311502,1408.375,Camino de Los Cóndores 225,-33.35462714,-70.31696588,Pau Padros Marras ,COPEC,Lo Barnechea,Metropolitana de Santiago
co1311503,1397.3572,Avenida Los Trapenses 2250,-33.3538146,-70.5395947,Pralungo Ltda.,COPEC,Lo Barnechea,Metropolitana de Santiago
co1311601,1321.0555,Lo Sierra 03079,-33.53359055,-70.6992765,GONZALEZ Y KEMP LTDA,COPEC,Lo Espejo,Metropolitana de Santiago
co1311801,1369.9333,José Pedro Alessandri 5880,-33.50506324,-70.59164286,Administradora de Ventas al Detalle Ltda.,COPEC,Macul,Metropolitana de Santiago
co1311802,1338.5625,José Pedro Alessandri 4003,-33.49063197,-70.5999577,Adm. E/S Los Almendros,COPEC,Macul,Metropolitana de Santiago
co1311804,1336.2667,Escuela Agrícola 2589,-33.4906068,-70.6060392,COMERCIAL GRUPO MYDO LTDA,COPEC,Macul,Metropolitana de Santiago
co1311805,1340.8125,José Pedro Alessandri 2526,-33.4779881,-70.59872389,Schnyder y Florsheim Ltda.  78.959.210-1,COPEC,Macul,Metropolitana de Santiago
co1311806,1361.6471,Vicuña Mackenna 5700,-33.50776492,-70.61354578,Administradora de Ventas al Detalle Ltda.,COPEC,Macul,Metropolitana de Santiago
co1311901,1324.9286,Avenida Pajaritos 5200,-33.47458745,-70.73997974,Comercial Fypsa Ltda.,COPEC,Maipú,Metropolitana de Santiago
co1311902,1315.5,Alberto Llona 640,-33.52131678,-70.75603008,Villanueva y Clark Limitada,COPEC,Maipú,Metropolitana de Santiago
co1311903,1327.9231,Avenida Los Pajaritos 3333,-33.49652824,-70.75718343,Servicios Santa Trinidad Ltda.,COPEC,Maipú,Metropolitana de Santiago
co1311904,1343.25,Camino a Melipilla 11820,-33.52641942,-70.75402379,COMERCIAL Y SERVICIOS ZIVA LTDA,COPEC,Maipú,Metropolitana de Santiago
co1311905,1314.75,Carmen 988,-33.51959272,-70.7635054,Inversiones Soroche Ltda.,COPEC,Maipú,Metropolitana de Santiago
co1311906,1321.65,El Rosal 6443,-33.47945124,-70.75601399,Comercial Grona Limitada,COPEC,Maipú,Metropolitana de Santiago
co1311907,1342.1428,Camino a Lonquen 9521,-33.51977137,-70.72355896,COMERCIAL Y SERVICIOS SANTA AUGUSTA LIMITADA,COPEC,Maipú,Metropolitana de Santiago
co1311908,1321.1818,Av. 5 de Abril 1310,-33.51003603,-70.74346011,Comercial Dacato y CÃ­a Ltda,COPEC,Maipú,Metropolitana de Santiago
co1312001,1362.0769,Avenida Irarrázaval 1102,-33.45309764,-70.61914086,Inversiones Pargar Ltda,COPEC,Ñuñoa,Metropolitana de Santiago
co1312002,1365.6875,Avenida Irarrázaval 5277,-33.45400621,-70.57525992,Comercial y Servcios Pincal ltda,COPEC,Ñuñoa,Metropolitana de Santiago
co1312004,1340,Pedro de Valdivia 4298,-33.46204865,-70.60591221,Comercial Gujuca Limitada,COPEC,Ñuñoa,Metropolitana de Santiago
co1312006,1353.8,Avenida Irarrázaval 4102,-33.45530415,-70.58818817,COMERCIAL RIPA LTDA,COPEC,Ñuñoa,Metropolitana de Santiago
co1312007,1327.3334,Bustamante 648,-33.45026893,-70.62920719,Comercial y Servicios POMO Limitada,COPEC,Ñuñoa,Metropolitana de Santiago
co1312008,1371.7693,San Eugenio 1602,-33.46715031,-70.62314808,CARLOS BUNSTER M. Y LORETO REYES P. LIMITADA,COPEC,Ñuñoa,Metropolitana de Santiago
co1312009,1360.7142,Avda. Presidente Jose Batlle y Ordoñez (Diagonal Oriente) 4312,-33.45116186,-70.58558911,juan carlos palavecino y cia ltda,COPEC,Ñuñoa,Metropolitana de Santiago
co1312010,1359.9333,Vicuña Mackenna 1990,-33.46948623,-70.62455893,Administradora de Ventas al Detalle Ltda.,COPEC,Ñuñoa,Metropolitana de Santiago
co1312101,1360.5333,Carlos Valdovinos 2765,-33.4787331,-70.6711784,Donoso y Gómez Ltda,COPEC,Pedro Aguirre Cerda,Metropolitana de Santiago
co1312102,1365,Avenida Isabel Riquelme 2058,-33.47642203,-70.66320688,Comercial Full HD LTDA,COPEC,Pedro Aguirre Cerda,Metropolitana de Santiago
co1312103,1360.5333,Carlos Valdovinos 2650,-33.47837738,-70.6713742,DONOSO Y GOMEZ LTDA.,COPEC,Pedro Aguirre Cerda,Metropolitana de Santiago
co1312104,1366,Bascuñán Guerrero 2445,-33.47731246,-70.67188919,Comercial Santa Victoria Limitada,COPEC,Santiago Centro,Metropolitana de Santiago
co1312201,1357.4546,Los Orientales 5710,-33.46229926,-70.57322145,Comercial e Inversiones Itata Ltda.,COPEC,Peñalolén,Metropolitana de Santiago
co1312202,1358.5714,El Valle 5780,-33.4749141,-70.57697654,comercial santa ana ltda,COPEC,Peñalolén,Metropolitana de Santiago
co1312203,1366.6428,Tobalaba 11567,-33.4782163,-70.55800259,Comercial Allegro Ltda.,COPEC,Peñalolén,Metropolitana de Santiago
co1312204,1365.6818,Consistorial 2591,-33.48354776,-70.54725342,Comercial y Servicios Matter Ltda. // 76.177.955-9,COPEC,Peñalolén,Metropolitana de Santiago
co1312205,1363.2142,AVDA. Departamental 7494,-33.5119005,-70.554698,COMERCIAL Y SERVICIOS RIMED LTDA,COPEC,Peñalolén,Metropolitana de Santiago
co1312301,1356.5714,Avenida Andrés Bello 1051,-33.42977593,-70.62388301, Comercial Tamarugal Ltda,COPEC,Providencia,Metropolitana de Santiago
